Day in period,Date,Dedicated interface Uptime (%), Dedicated interface Downtime (%),Payment services user interface Response (millisecs),Dedicated interface AISP response (millisecs),Dedicated interface PISP response (millisecs),Dedicated interface CBPII/PISP Yes/No response (millisecs),Dedicated interface Error response rate (%)
1,01 Jan 2026,100.00,0.00,851,0,0,0,0.00
2,02 Jan 2026,100.00,0.00,742,0,0,0,0.00
3,03 Jan 2026,100.00,0.00,674,0,0,0,0.00
4,04 Jan 2026,100.00,0.00,554,0,0,0,0.00
5,05 Jan 2026,100.00,0.00,627,0,0,0,0.00
6,06 Jan 2026,100.00,0.00,576,0,0,0,0.00
7,07 Jan 2026,100.00,0.00,700,0,0,0,0.00
8,08 Jan 2026,100.00,0.00,630,0,0,0,0.00
9,09 Jan 2026,100.00,0.00,656,0,0,0,0.00
10,10 Jan 2026,100.00,0.00,711,0,0,0,0.00
11,11 Jan 2026,100.00,0.00,733,0,0,0,0.00
12,12 Jan 2026,100.00,0.00,615,0,0,0,0.00
13,13 Jan 2026,100.00,0.00,624,0,0,0,0.00
14,14 Jan 2026,100.00,0.00,625,0,0,0,0.00
15,15 Jan 2026,100.00,0.00,645,0,0,0,0.00
16,16 Jan 2026,100.00,0.00,621,0,0,0,0.00
17,17 Jan 2026,100.00,0.00,641,0,0,0,0.00
18,18 Jan 2026,100.00,0.00,607,0,0,0,0.00
19,19 Jan 2026,100.00,0.00,629,0,0,0,0.00
20,20 Jan 2026,100.00,0.00,616,0,0,0,0.00
21,21 Jan 2026,100.00,0.00,609,0,0,0,0.00
22,22 Jan 2026,100.00,0.00,613,0,0,0,0.00
23,23 Jan 2026,100.00,0.00,609,0,0,0,0.00
24,24 Jan 2026,100.00,0.00,754,0,0,0,0.00
25,25 Jan 2026,100.00,0.00,688,0,0,0,0.00
26,26 Jan 2026,100.00,0.00,568,0,0,0,0.00
27,27 Jan 2026,100.00,0.00,561,0,0,0,0.00
28,28 Jan 2026,100.00,0.00,548,0,0,0,0.00
29,29 Jan 2026,100.00,0.00,593,0,0,0,0.00
30,30 Jan 2026,100.00,0.00,581,0,0,0,0.00
31,31 Jan 2026,100.00,0.00,575,0,0,0,0.00
32,01 Feb 2026,100.00,0.00,478,0,0,0,0.00
33,02 Feb 2026,100.00,0.00,598,0,0,0,0.00
34,03 Feb 2026,100.00,0.00,591,0,0,0,0.00
35,04 Feb 2026,100.00,0.00,591,0,0,0,0.00
36,05 Feb 2026,100.00,0.00,584,0,0,0,0.00
37,06 Feb 2026,100.00,0.00,599,0,0,0,0.00
38,07 Feb 2026,100.00,0.00,525,0,0,0,0.00
39,08 Feb 2026,100.00,0.00,524,0,0,0,0.00
40,09 Feb 2026,100.00,0.00,600,0,0,0,0.00
41,10 Feb 2026,100.00,0.00,579,0,0,0,0.00
42,11 Feb 2026,100.00,0.00,584,0,0,0,0.00
43,12 Feb 2026,100.00,0.00,602,0,0,0,0.00
44,13 Feb 2026,100.00,0.00,685,0,0,0,0.00
45,14 Feb 2026,100.00,0.00,649,0,0,0,0.00
46,15 Feb 2026,100.00,0.00,645,0,0,0,0.00
47,16 Feb 2026,100.00,0.00,574,0,0,0,0.00
48,17 Feb 2026,100.00,0.00,617,0,0,0,0.00
49,18 Feb 2026,100.00,0.00,567,0,0,0,0.00
50,19 Feb 2026,100.00,0.00,569,0,0,0,0.00
51,20 Feb 2026,100.00,0.00,584,0,0,0,0.00
52,21 Feb 2026,100.00,0.00,622,0,0,0,0.00
53,22 Feb 2026,100.00,0.00,463,0,0,0,0.00
54,23 Feb 2026,100.00,0.00,574,0,0,0,0.00
55,24 Feb 2026,100.00,0.00,573,0,0,0,0.00
56,25 Feb 2026,100.00,0.00,599,0,0,0,0.00
57,26 Feb 2026,100.00,0.00,649,0,0,0,0.00
58,27 Feb 2026,100.00,0.00,619,0,0,0,0.00
59,28 Feb 2026,100.00,0.00,643,0,0,0,0.00
60,01 Mar 2026,100.00,0.00,479,0,0,0,0.00
61,02 Mar 2026,100.00,0.00,581,0,0,0,0.00
62,03 Mar 2026,100.00,0.00,576,0,0,0,0.00
63,04 Mar 2026,100.00,0.00,587,0,0,0,0.00
64,05 Mar 2026,100.00,0.00,575,0,0,0,0.00
65,06 Mar 2026,100.00,0.00,595,0,0,0,0.00
66,07 Mar 2026,100.00,0.00,1221,0,0,0,0.00
67,08 Mar 2026,100.00,0.00,572,0,0,0,0.00
68,09 Mar 2026,100.00,0.00,580,0,0,0,0.00
69,10 Mar 2026,100.00,0.00,585,0,0,0,0.00
70,11 Mar 2026,100.00,0.00,640,0,0,0,0.00
71,12 Mar 2026,100.00,0.00,576,0,0,0,0.00
72,13 Mar 2026,100.00,0.00,601,0,0,0,0.00
73,14 Mar 2026,100.00,0.00,506,0,0,0,0.00
74,15 Mar 2026,100.00,0.00,533,0,0,0,0.00
75,16 Mar 2026,100.00,0.00,592,0,0,0,0.00
76,17 Mar 2026,100.00,0.00,575,0,0,0,0.00
77,18 Mar 2026,100.00,0.00,661,0,0,0,0.00
78,19 Mar 2026,100.00,0.00,585,0,0,0,0.00
79,20 Mar 2026,100.00,0.00,591,0,0,0,0.00
80,21 Mar 2026,100.00,0.00,443,0,0,0,0.00
81,22 Mar 2026,100.00,0.00,441,0,0,0,0.00
82,23 Mar 2026,100.00,0.00,593,0,0,0,0.00
83,24 Mar 2026,100.00,0.00,626,0,0,0,0.00
84,25 Mar 2026,100.00,0.00,601,0,0,0,0.00
85,26 Mar 2026,100.00,0.00,589,0,0,0,0.00
86,27 Mar 2026,100.00,0.00,598,0,0,0,0.00
87,28 Mar 2026,100.00,0.00,392,0,0,0,0.00
